epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1377.58,0.86836,0.69995,1.17435,0.86079,0.89443,0.92915,0.70476,0.86428,0.52828,1.15664,0.000575653,0.000575653,0.000575653
43,1410.03,0.82675,0.64389,1.15325,0.91761,0.86511,0.92316,0.70313,0.88846,0.5333,1.16531,0.000549035,0.000549035,0.000549035
44,1442.72,0.83688,0.6715,1.15176,0.87597,0.88747,0.92543,0.70087,0.86319,0.55786,1.14074,0.000522416,0.000522416,0.000522416
45,1475.12,0.82481,0.65568,1.15118,0.87478,0.90282,0.93286,0.69922,0.89504,0.5132,1.16527,0.000495798,0.000495798,0.000495798
46,1510.53,0.8106,0.63197,1.14259,0.89479,0.90051,0.94313,0.71657,0.85615,0.49761,1.13746,0.00046918,0.00046918,0.00046918
47,1543.12,0.81421,0.65017,1.15304,0.91098,0.87333,0.93806,0.71957,0.85074,0.48921,1.14297,0.000442562,0.000442562,0.000442562
48,1575.06,0.79041,0.61257,1.12962,0.89999,0.90428,0.94133,0.70888,0.85953,0.50695,1.14348,0.000415943,0.000415943,0.000415943
49,1606.36,0.78135,0.62315,1.12562,0.88243,0.89735,0.93715,0.71372,0.84442,0.52912,1.13696,0.000389325,0.000389325,0.000389325
50,1638.26,0.77365,0.60228,1.124,0.89637,0.88641,0.94597,0.72684,0.83635,0.50111,1.11274,0.000362707,0.000362707,0.000362707
51,1670.82,0.75708,0.57854,1.10689,0.89445,0.88873,0.9444,0.72687,0.81632,0.48585,1.11509,0.000336089,0.000336089,0.000336089
52,1703.82,0.75895,0.58134,1.12042,0.86665,0.90551,0.93298,0.72527,0.81805,0.49418,1.109,0.00030947,0.00030947,0.00030947
53,1738.14,0.72172,0.53217,1.12413,0.87708,0.878,0.93284,0.71738,0.84613,0.5096,1.14535,0.000282852,0.000282852,0.000282852
54,1772.87,0.70079,0.48175,1.09324,0.92079,0.91456,0.94995,0.7334,0.84482,0.4734,1.13507,0.000256234,0.000256234,0.000256234
55,1804.58,0.7,0.48448,1.09423,0.90619,0.90923,0.93741,0.72,0.85009,0.49017,1.14991,0.000229616,0.000229616,0.000229616
56,1835.18,0.69268,0.47854,1.09743,0.89291,0.90946,0.9421,0.73399,0.82258,0.47635,1.12647,0.000202998,0.000202998,0.000202998
57,1865.91,0.6824,0.46091,1.08743,0.8875,0.93179,0.95519,0.75143,0.81227,0.45273,1.12424,0.000176379,0.000176379,0.000176379
58,1897.76,0.67115,0.44587,1.07168,0.89803,0.935,0.95571,0.75108,0.80268,0.43171,1.10271,0.000149761,0.000149761,0.000149761
59,1929.87,0.65514,0.42587,1.06722,0.89124,0.91686,0.95015,0.74753,0.78835,0.43891,1.10059,0.000123143,0.000123143,0.000123143
60,1960.5,0.64229,0.41872,1.05738,0.9085,0.91664,0.95482,0.74894,0.80367,0.43132,1.10048,9.65247e-05,9.65247e-05,9.65247e-05
61,1990.99,0.63711,0.41869,1.05763,0.91437,0.925,0.95556,0.75157,0.80173,0.43075,1.09318,6.99065e-05,6.99065e-05,6.99065e-05
62,2025.74,0.64681,0.41796,1.05422,0.92181,0.91837,0.95724,0.75546,0.79807,0.42788,1.09527,4.32882e-05,4.32882e-05,4.32882e-05
